SURVEY,DOEID,REGIONC,DIVISION,LRGSTATE,TYPEHUQ,MQRESULT,NWEIGHT,HD65,CD65,KWH,BTUEL,CUFEETNG,BTUNG,GALLONFO,BTUFO,GALLONLP,BTULP,GALLONKR,BTUKER,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUWOOD
2005,1,3,7,3,2,9,25677.9652467,1231,3281,13459,45922,365,37559,999999,9999999,999999,9999999,999999,9999999,0,376,3265,4222,29630,0,0,12070,9481,18266,9812,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,2,4,9,2,2,1,24261.8102616,1663,1123,13051,44529,227,23320,999999,9999999,999999,9999999,999999,9999999,4261,712,0,4092,10040,0,1356,29041,3780,13082,6458,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,3,2,3,0,2,9,31806.2950159,5221,1286,19464,66411,682,70178,999999,9999999,999999,9999999,999999,9999999,3414,999,0,19846,16657,0,0,29908,0,20784,49394,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4,4,9,0,3,9,22345.3974913,5261,667,28635,97703,999999,9999999,999999,9999999,999999,9999999,999999,9999999,9833,0,7807,5272,0,31876,13724,46831,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,5,3,6,0,2,9,18842.4554202,4392,1238,28658,97781,686,70589,999999,9999999,999999,9999999,999999,9999999,5121,855,0,12335,15836,23262,0,46348,0,0,70589,9999999,9999999,9999999,9999999,9999999,9999999,15000
2005,6,1,2,0,2,9,5665.8754185,5162,1236,13212,45079,1340,137865,999999,9999999,999999,9999999,999999,9999999,4030,673,0,2914,4753,0,0,37412,0,45711,92154,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,7,3,5,4,2,3,5958.8038631,392,3759,7194,24547,999999,9999999,999999,9999999,999999,9999999,999999,9999999,3198,0,0,6262,0,6971,0,11314,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,8,3,7,0,2,9,29405.3235385,3275,2086,19878,67824,999999,9999999,999999,9999999,980,89523,999999,9999999,2576,0,0,4125,7840,19694,2029,34136,9999999,9999999,9999999,9999999,9999999,9999999,0,89523,0,9999999
2005,9,3,5,4,2,9,34572.0663004,540,3278,20718,70690,305,31411,999999,9999999,999999,9999999,999999,9999999,0,548,3754,3003,31999,0,2692,32996,6707,24704,0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,10,1,2,0,3,9,29899.0276516,4409,1718,7688,26232,999999,9999999,999999,9999999,999999,9999999,999999,9999999,2054,343,0,2112,5495,4483,6841,7301,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
