COLUMN_NAME,COLUMN_CAT_ABBR,COLUMN_CATEGORY,COLUMN_DESCRIPTION
RECSYEAR,COMMON,CommonVariables,Survey Conducted Year
DOEID,COMMON,CommonVariables,4-digit identification number
REGIONC,COMMON,CommonVariables,Census Region
DIVISION,COMMON,CommonVariables,Census Division
TYPEHUQ,COMMON,CommonVariables,Type of Home: as report by Respondent
CELLAR,HUC,Housing Unit Characteristics,Home Has Basement
STORIES,HUC,Housing Unit Characteristics,Reported Stories in Housing Unit
PRKGPLC1,HUC,Housing Unit Characteristics,Home has Garage or Carport
YEARMADE,HUC,Housing Unit Characteristics,Year Home Built
OCCUPYY,HUC,Housing Unit Characteristics,Year Moved into Home
BEDROOMS,HUC,Housing Unit Characteristics,Number of bedrooms
NCOMBATH,HUC,Housing Unit Characteristics,Number of Complete Baths
NHAFBATH,HUC,Housing Unit Characteristics,Number of Half Baths
OTHROOMS,HUC,Housing Unit Characteristics,Number of Other Rooms
TOTROOMS,HUC,Housing Unit Characteristics,Total Number of Rooms
DOOR1SUM,WTH,"Water heating, Cooling and Miscell",Number of sliding glass doors
WINDOWS,WTH,"Water heating, Cooling and Miscell",Number of windows
ADQINSUL,WTH,"Water heating, Cooling and Miscell",Respondent perception of home insulation
DRAFTY,WTH,"Water heating, Cooling and Miscell",How often find your home too drafty during winter
UGASHERE,HUC,Housing Unit Characteristics,Natural gas from underground pipe available
FUELPOOL,APL_OTH,Other Appliances,What fuel is used most often to heat pool water
SIZRFRI1,APL_KIT,Kitchen Appliances,Size of first refrigerator
TYPERFR1,APL_KIT,Kitchen Appliances,Type of first refrigerators
AGERFRI1,APL_KIT,Kitchen Appliances,How old is first refrigerator
ICE,APL_KIT,Kitchen Appliances,Does refrigerator have through-the-door ice
SIZRFRI2,APL_KIT,Kitchen Appliances,Size of second refrigerator
TYPERFR2,APL_KIT,Kitchen Appliances,Type of second refrigerator
AGERFRI2,APL_KIT,Kitchen Appliances,How old is second refrigerator
NUMFREEZ,APL_KIT,Kitchen Appliances,How many separate freezers are used in your home
SIZFREEZ,APL_KIT,Kitchen Appliances,Size of this freezer
AGEFRZR,APL_KIT,Kitchen Appliances,How old is this freezer
STOVENFUEL,APL_KIT,Kitchen Appliances,Stove use the same fuel for both burners and oven
OVENUSE,APL_KIT,Kitchen Appliances,How often you use your oven
AMTMICRO,APL_KIT,Kitchen Appliances,How often is microwave used
NUMMEAL,APL_KIT,Kitchen Appliances,How often hot meals are usually cooked
TOASTER,APL_KIT,Kitchen Appliances,Do use any electric toaster ovens
COFFEE,APL_KIT,Kitchen Appliances,Do you use any electric coffee makers
DWASHUSE,APL_KIT,Kitchen Appliances,How often automatic dishwasher used
WASHLOAD,APL_OTH,Other Appliances,How many loads of laundry are washed in a week
WASHTEMP,APL_OTH,Other Appliances,Temperature setting for wash cycle of the washer
RNSETEMP,APL_OTH,Other Appliances,Water temperature setting for rinse cycle
DRYRUSE,APL_OTH,Other Appliances,How often use your clothes dryer
EQUIPM,SPH,Space Heating,Type of heating equipment provides the heat
FUELHEAT,SPH,Space Heating,Main fuel used for heating home
EQUIPAGE,SPH,Space Heating,How old is equipment identified in D-2 heat system
PROTHERM,SPH,Space Heating,Is that thermostat programmable
TEMPHOME,SPH,Space Heating,Setting During the day when someone is home
TEMPGONE,SPH,Space Heating,Setting During the day when no one is home
TEMPNITE,SPH,Space Heating,Setting During sleeping hours
EQUIPAUX,SPH,Space Heating,Use any other types of equipment to heat home
REVERSE,SPH,Space Heating,Sec Ht Eqp Heat pump
WARMAIR,SPH,Space Heating,Sec Ht Eqp Central warm-air furnace with ducts
STEAMR,SPH,Space Heating,Sec Ht Eqp Steam system with radiators/convectors
PERMELEC,SPH,Space Heating,Sec Ht Eqp Built-in electric units in each room
PIPELESS,SPH,Space Heating,Sec Ht Eqp Built-in floor/wall pipeless furnace
ROOMHEAT,SPH,Space Heating,Sec Ht Eqp Built-in room heater burning
WOODKILN,SPH,Space Heating,"Sec Ht Eqp Heating stove burning wood, coal, coke"
CARRYEL,SPH,Space Heating,Sec Ht Eqp Portable electric heaters
CARRYKER,SPH,Space Heating,Sec Ht Eqp Portable kerosene heaters
CHIMNEY,SPH,Space Heating,Sec Ht Eqp Fireplace
RANGE,SPH,Space Heating,Sec Ht Eqp Cooking stove
DIFEQUIP,SPH,Space Heating,Sec Ht Eqp Some other equipment
ELECAUX,SPH,Space Heating,Secondary heating fuel - Electricity
UGASAUX,SPH,Space Heating,Secondary heating fuel - Natural Gas
LPGAUX,SPH,Space Heating,Secondary heating fuel - LPG
FOKRAUX,SPH,Space Heating,Secondary heating fuel - Fuel Oil
WOODAUX,SPH,Space Heating,Secondary heating fuel - Wood
OTHERAUX,SPH,Space Heating,Secondary heating fuel - Other
ATTCHEAT,HUC,Housing Unit Characteristics,How much of the attic is warm
GARGHEAT,HUC,Housing Unit Characteristics,The garage is warm enough to work
COOLTYPE,WTH,"Water heating, Cooling and Miscell",What kind of air-conditioning equipment you have
AGECENAC,WTH,"Water heating, Cooling and Miscell",How old is your household
USECENAC,WTH,"Water heating, Cooling and Miscell",How household uses central AC during the summer
NUMBERAC,WTH,"Water heating, Cooling and Miscell",Number of window or wall AC units in your home
WWACAGE,WTH,"Water heating, Cooling and Miscell",How old is household
USEWWAC,WTH,"Water heating, Cooling and Miscell",How household uses window AC during the summer
NUMCFAN,APL_OTH,Other Appliances,How many ceiling fans does your household use
FUELH2O,WTH,"Water heating, Cooling and Miscell","Fuel used for heating water, washing or bathing"
WHEATAGE,WTH,"Water heating, Cooling and Miscell",How old is your household
WHEATSIZ,WTH,"Water heating, Cooling and Miscell",Size of household
LGTOUTNUM,WTH,"Water heating, Cooling and Miscell",Are any outdoor lights left on all night
ESDISHW,APL_OTH,Other Appliances,Enaergy Star for Dishwasher
PGASHEAT,FUP,Fuels Used and Fuel Payment,Who pays natural gas for heat
LPGPAY,FUP,Fuels Used and Fuel Payment,Who pays for bottled gas
FOPAY,FUP,Fuels Used and Fuel Payment,Who pays for fuel oil
HHSEX,HMC,Household Characteristics,Are you/is the householder a male or a female
HHAGE,HMC,Household Characteristics,How old are you/is the householder
EMPLOYHH,HMC,Household Characteristics,How would you describe employment status
HOUSEHOLDER_RACE,HMC,Household Characteristics,Race of Householder
NHSLDMEM,HMC,Household Characteristics,How many people normally live in this household
ATHOME,HMC,Household Characteristics,Is someone at home all day on a typical weekday
MONEYPY,HMC,Household Characteristics,Total combined income in the past 12 months
ELWATER,FUP,Fuels Used and Fuel Payment,Electricity used for H2O
LPOTHER,FUP,Fuels Used and Fuel Payment,Bottled gas used for other
TOTCSQFT,HUC,Housing Unit Characteristics,Estimated air-conditional square footage
TOTHSQFT,HUC,Housing Unit Characteristics,Total heated square footage
TOTUSQFT,HUC,Housing Unit Characteristics,Total unheated square footage
NWEIGHT,COMMON,CommonVariables,The Final Weight
