index,RECSYEAR,COUNTRY,DOEID,REGIONC,REGIONNAME,DIVISION,DIVISIONNAME,TYPEHUQ,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,DOOR1SUM,WINDOWS,ADQINSUL,DRAFTY,UGASHERE,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,ICE,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,TOASTER,COFFEE,DWASHUSE,WASHLOAD,WASHTEMP,RNSETEMP,DRYRUSE,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,EQUIPAUX,REVERSE,WARMAIR,STEAMR,PERMELEC,PIPELESS,ROOMHEAT,WOODKILN,CARRYEL,CARRYKER,CHIMNEY,RANGE,DIFEQUIP,ELECAUX,UGASAUX,LPGAUX,FOKRAUX,WOODAUX,OTHERAUX,ATTCHEAT,GARGHEAT,COOLTYPE,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,LPGPAY,FOPAY,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,ATHOME,MONEYPY,ELWATER,LPOTHER,TOTCSQFT,TOTHSQFT,TOTUSQFT,NWEIGHT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTULP,BTULPSPH,BTULPWTH,BTULPOTH,BTUNG,BTUNGSPH,BTUNGWTH,BTUNGOTH,BTUFO,BTUFOSPH,BTUFOWTH,BTUFOOTH,DOLLARNG,DOLNGSPH,DOLNGWTH,DOLNGOTH,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,DOLLARLP,DOLLPSPH,DOLLPWTH,DOLLPOTH,DOLLARFO,DOLFOSPH,DOLFOWTH,DOLFOOTH,GALLONFO,TOTALBTU,TOTALDOLLAR,WOODAMT,PERIODFO,PERIODLP,PERIODEL,PERIODNG,KOWNRENT,SWIMPOOL,POOL,RECBATH,FUELTUB,NUMFRIG,UPRTFRZR,STOVEN,STOVE,OVEN,MICRO,DISHWASH,CWASHER,DRYER,DRYRFUEL,DNTHEAT,THERMAIN,AIRCOND,CENACHP,USEEL,ELWARM,ELCOOL,ELFOOD,ELOTHER,UGWARM,UGWATER,UGCOOK,UGOTH,USELP,LPWARM,LPWATER,LPCOOK,USEFO,FOWARM,FOWATER,USEWOOD,WOODLOGS,WDPELLET,WDOTHER,WDWARM,WDWATER,USESOLAR,SOLWATER,SOLOTHER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
17822,2015,United States,11923,1,Northeast,2,Middle Atlantic,2,1.0,10.0,0.0,6,7,3.0,2,0,3,6,0,30,2,3,1,1.0,3.0,22.0,1.0,0.0,1.0,22.0,3.0,1.0,3.0,3.0,5.0,6.0,50.0,2,1,1,3.0,6.0,3.0,3.0,6.0,3.0,1.0,42.0,1.0,72.0,72.0,72.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,2,5.0,41.0,2.0,2.0,0,1.0,1.0,1.0,1,31,0,1,5,2,4,1,0,1248,1248,0,24295.24169,960,5378,0.0,564.847,39760.023,0.0,1759.505,15407.423,2189.944,24164.297000000002,0.0,0.0,0.0,0.0,55412.147,55412.147,0.0,0.0,0.0,0.0,0.0,0.0,741.24,741.24,0.0,0.0,1218.69,0.0,53.93,472.26,67.12,740.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95172.17,1959.93,0.5,5.0,5.0,1,1.0,1,0.0,0.0,0,5.0,2,2.0,1,0,0,1,1,1,1,5.0,1.0,1.0,1,0.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,13,5,3
13822,2009,United States,9793,1,Northeast,2,Middle Atlantic,1,0.0,10.0,0.0,5,6,2.0,1,0,2,4,0,30,2,3,0,1.0,3.0,21.0,3.0,0.0,3.0,22.0,3.0,1.0,1.0,3.0,2.0,6.0,3.0,4,0,0,13.0,2.0,3.0,3.0,1.0,7.0,1.0,2.0,1.0,73.0,73.0,73.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,41.0,3.0,1.0,3.0,1.0,3,5.0,3.0,2.0,0.0,0,1.0,1.0,1.0,1,44,0,1,2,1,4,1,0,1064,1064,0,12266.05,809,5362,15.0,0.0,52419.0,0.0,5222.39,15737.97,5090.03,26368.61,1370.0,0.0,0.0,1370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337.0,0.0,133.2,401.41,129.83,672.56,59.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,53789.0,1396.0,1.0,1.0,1.0,1,1.0,1,0.0,0.0,0,5.0,1,2.0,1,0,0,1,0,1,0,5.0,1.0,1.0,1,0.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,7,2,0
3770,2001,United States,4918,1,Northeast,2,Middle Atlantic,1,9.0,10.0,0.0,7,9,2.0,1,1,2,6,0,4,2,3,1,1.0,3.0,2.0,4.0,0.0,9.0,9.0,4.0,0.0,9.0,4.0,1.0,3.0,4.0,3,0,1,12.0,2.0,3.0,3.0,2.0,3.0,5.0,4.0,0.0,70.0,70.0,60.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,9.0,1.0,4.0,1.0,0.0,3.0,9.0,3,5.0,4.0,2.0,0.0,0,9.0,9.0,9.0,2,40,0,1,2,1,6,1,0,1008,1008,0,14986.0,983,4880,0.0,0.0,59393.0,21758.0,4097.0,9921.0,5484.0,22090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1438.0,527.0,99.0,240.0,133.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59393.0,1438.0,0.0, , ,1, ,1,9.0,9.0,0,5.0,1,9.0,1,0,0,1,1,1,1,5.0,9.0,1.0,1,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9.0,9.0,0.0,0,0,0,0,0,6,0,1
4126,2001,United States,5281,1,Northeast,2,Middle Atlantic,4,1.0,31.0,9.0,1,9,3.0,2,0,3,8,0,4,1,4,1,1.0,4.0,2.0,3.0,0.0,9.0,9.0,4.0,0.0,9.0,4.0,1.0,2.0,4.0,2,1,1,13.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,0.0,70.0,62.0,70.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,9.0,2.0,4.0,9.0,4.0,2.0,1.0,0,1.0,2.0,3.0,0.0,0,1.0,9.0,9.0,1,49,2,1,4,0,10,0,0,655,1310,0,27593.0,1216,4298,0.0,113.0,30909.0,0.0,3515.0,0.0,7773.0,21935.0,0.0,0.0,0.0,0.0,11628.0,8168.0,2421.0,1039.0,0.0,0.0,0.0,0.0,252.0,177.0,52.0,23.0,1598.0,0.0,182.0,0.0,402.0,1134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42537.0,1850.0,0.0, , ,1,1,1,9.0,9.0,0,5.0,1,9.0,1,0,0,1,1,1,1,1.0,9.0,1.0,1,9.0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,9.0,9.0,0.0,0,0,0,0,0,6,2,2
7942,2009,United States,3520,1,Northeast,2,Middle Atlantic,4,0.0,10.0,1.0,2,8,2.0,1,0,2,4,0,30,2,4,1,1.0,3.0,22.0,3.0,0.0,3.0,22.0,3.0,1.0,2.0,3.0,1.0,0.0,3.0,4,1,0,13.0,2.0,2.0,3.0,1.0,2.0,1.0,42.0,0.0,70.0,70.0,70.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,1.0,0,1.0,2.0,2.0,0.0,0,1.0,1.0,1.0,2,34,2,1,2,0,5,0,0,0,1344,0,7438.94,1048,4688,0.0,653.0,26846.0,0.0,0.0,0.0,13889.43,12956.57,0.0,0.0,0.0,0.0,66933.0,51550.41,9644.24,5738.35,0.0,0.0,0.0,0.0,1248.0,961.18,179.82,106.99,1941.0,0.0,0.0,0.0,1004.22,936.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93779.0,3189.0,1.0,1.0,5.0,1,1.0,2,0.0,0.0,0,5.0,1,2.0,1,0,0,0,0,0,0,5.0,1.0,0.0,0,0.0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,2,0,0
18169,2015,United States,12284,1,Northeast,1,New England,2,0.0,20.0,0.0,1,8,2.0,1,1,2,4,1,42,1,4,0,1.0,3.0,22.0,2.0,0.0,3.0,22.0,3.0,0.0,3.0,3.0,2.0,1.0,10.0,4,1,0,2.0,2.0,2.0,3.0,1.0,8.0,7.0,2.0,1.0,67.0,58.0,58.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,2.0,3.0,1.0,2.0,41.0,1.0,0,3.0,41.0,2.0,2.0,1,1.0,1.0,1.0,2,67,1,1,2,0,6,0,0,652,1304,704,10533.5932,598,6979,28.679,0.0,7066.295,0.0,844.8710000000002,0.0,1399.0179999999998,6275.802,2619.31,0.0,0.0,2619.31,0.0,0.0,0.0,0.0,58756.582,48949.581,9807.002,0.0,0.0,0.0,0.0,0.0,502.89,0.0,60.13,0.0,99.56,446.59,143.36,0.0,0.0,143.36,851.73,709.57,142.16,0.0,427.469,68442.187,1497.98,1.0,2.0,2.0,1,1.0,1,0.0,0.0,0,5.0,1,2.0,1,0,0,1,1,1,1,5.0,1.0,0.0,1,0.0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1.0,0.0,0.0,1,0,0,0,0,3,4,2
9442,2009,United States,5129,1,Northeast,1,New England,4,1.0,10.0,1.0,1,8,2.0,1,0,3,5,0,41,3,4,1,1.0,3.0,21.0,1.0,1.0,3.0,22.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,4,1,1,13.0,2.0,3.0,3.0,2.0,2.0,1.0,42.0,0.0,65.0,63.0,63.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,3.0,3.0,2.0,42.0,2.0,2,1.0,42.0,2.0,0.0,1,1.0,1.0,1.0,1,40,1,1,2,0,23,0,1,416,1040,1040,7420.94,604,6116,0.0,1061.0,19513.0,0.0,1757.0,0.0,4094.86,13661.15,0.0,0.0,0.0,0.0,108753.0,73180.64,28122.73,7449.63,0.0,0.0,0.0,0.0,1571.0,1057.14,406.25,107.61,1192.0,0.0,107.33,0.0,250.15,834.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128266.0,2763.0,1.0,1.0,5.0,1,5.0,1,0.0,0.0,0,5.0,1,2.0,1,0,0,1,1,1,1,5.0,1.0,1.0,1,0.0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,6,3,2
9425,2009,United States,5111,1,Northeast,2,Middle Atlantic,2,1.0,20.0,0.0,1,6,3.0,1,1,6,9,0,50,3,2,1,1.0,3.0,22.0,3.0,0.0,3.0,22.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,0,0,1,13.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,0.0,70.0,70.0,64.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,1.0,1,1.0,2.0,2.0,0.0,0,1.0,1.0,1.0,1,39,1,6,3,0,23,0,0,0,936,468,7862.34,697,5239,0.0,590.0,21513.0,0.0,0.0,0.0,0.0,21513.0,0.0,0.0,0.0,0.0,60476.0,45839.87,14635.64,0.0,0.0,0.0,0.0,0.0,1021.0,773.7,247.03,0.0,1141.0,0.0,0.0,0.0,0.0,1141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81989.0,2162.0,1.0,1.0,5.0,1,1.0,1,0.0,0.0,0,5.0,0,2.0,1,0,0,0,0,1,1,5.0,1.0,1.0,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,3,2,1
2629,2001,United States,3730,1,Northeast,1,New England,2,1.0,10.0,1.0,4,9,3.0,1,1,3,8,0,4,1,4,1,1.0,3.0,2.0,5.0,0.0,9.0,9.0,4.0,1.0,2.0,4.0,1.0,2.0,9.0,3,1,1,20.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,0.0,64.0,62.0,60.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9.0,0.0,2.0,4.0,9.0,1.0,3.0,1.0,2,3.0,3.0,6.0,0.0,0,9.0,9.0,1.0,1,62,1,1,4,0,1,0,0,392,1175,1575,11221.0,777,5312,0.0,0.0,45686.0,0.0,1481.0,0.0,5218.0,46374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82073.0,46051.0,36022.0,0.0,0.0,0.0,0.0,0.0,1730.0,0.0,56.0,0.0,198.0,1756.0,0.0,0.0,0.0,0.0,744.0,417.0,327.0,0.0,592.0,127759.0,2474.0,100.0,5, ,5, ,1,1.0,0.0,0,5.0,1,2.0,1,0,0,0,1,1,1,5.0,9.0,1.0,1,9.0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0.0,0.0,1,0,0,0,0,7,2,3
19026,2015,United States,13167,1,Northeast,2,Middle Atlantic,5,1.0,10.0,1.0,1,4,2.0,1,0,1,3,0,30,2,4,1,1.0,3.0,22.0,42.0,0.0,3.0,22.0,3.0,0.0,3.0,3.0,1.0,1.0,7.0,3,1,1,0.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,72.0,65.0,70.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,3.0,1.0,2.0,41.0,5.0,0,3.0,3.0,2.0,1.0,0,1.0,1.0,2.0,2,65,0,1,2,5,4,0,0,600,900,0,32630.52158,1506,4563,0.0,75.363,15794.631,0.0,5375.938,0.0,988.796,11530.263,0.0,0.0,0.0,0.0,7781.251999999998,0.0,0.0,7781.251999999998,39342.216,19673.276,19668.94,0.0,347.92,0.0,0.0,347.92,1214.33,0.0,413.31,0.0,76.02,886.47,0.0,0.0,0.0,0.0,766.42,383.25,383.17,0.0,286.224,62918.099,2328.67,0.5,5.0,5.0,1,1.0,2,0.0,0.0,0,5.0,1,2.0,1,0,0,1,0,0,0,5.0,1.0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1.0,0.0,0.0,0,0,0,0,0,8,2,2
