DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,DOLLARKR,DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,DOLELSPH,DOLNGSPH,DOLFOSPH,DOLLPSPH,DOLKRSPH,DOLELWTH,DOLNGWTH,DOLFOWTH,DOLLPWTH,DOLKRWTH,DOLELAPL,DOLNGAPL,DOLFOAPL,DOLLPAPL,DOLKRAPL,DOLELCOL,DOLNGCOL,DOLELRFG,DOLELFZZ,DOLELCOK,DOLELDWH,DOLELCDR
1001, 20385,9,3,5,0,1628, 2976,2,   0,2306,   0,   0,   0, 505,   0,   0,   0,   0, 381,   0,   0,   0,  0, 778,  0, 0,  0,0, 394, 0,248, 59, 53, 76, 93
1002, 23584,9,3,7,3,1732, 4080,2,   0, 347, 361,   0,   0,  32, 275,   0,   0,   0,   0,  56,   0,   0,  0, 178, 30, 0,  0,0,   0, 0,137,  0, 20,  0,  0
1003, 15877,9,1,2,0, 720, 5408,2,   0,1016,   0,   0,   0, 435,   0,   0,   0,   0, 155,   0,   0,   0,  0, 330,  0, 0,  0,0,   0, 0, 96,  0, 21, 13,  0
1004,  8712,9,2,4,0, 603, 8170,2,   0, 663,   0,   0, 591,  22,   0,   0, 591,   0, 129,   0,   0,   0,  0, 361,  0, 0,  0,0,  39, 0,112, 40, 30,  9, 59
1005,  7673,9,4,9,2, 238, 6467,1,   0, 267,   0,   0,1307,   0,   0,   0, 914,   0,   0,   0,   0, 260,  0, 184,  0, 0,133,0,   0, 0, 83, 44,  0,  0, 47
1006,  9307,9,3,7,0,1840, 3479,5,   0, 751, 329,   0,   0,   0, 329,   0,   0,   0, 276,   0,   0,   0,  0, 273,  0, 0,  0,0, 120, 0, 82,  0, 65,  0,  0
1007,  8642,9,1,1,0, 227, 8566,2,   0, 455,   0,1511,   0,   0,   0,1304,   0,   0,   0,   0, 207,   0,  0, 336,  0, 0,  0,0,   0, 0,119,  0, 25,  0, 79
1008, 17450,9,4,9,2,1307,  839,5,   0, 424, 167,   0,   0,  21,   0,   0,   0,   0,  15, 167,   0,   0,  0, 233,  0, 0,  0,0,  80, 0, 75,  0, 20, 49,  0
1009, 21990,9,2,3,0, 572, 6772,2,   0, 907,   0,   0, 201,   0,   0,   0, 190,   0, 282,   0,   0,   0,  0, 491,  0, 0, 11,0,  69, 0, 65, 27,  0,  8,133
1010, 15570,9,3,5,0,1005, 4679,3,   0,1201,   0,   0,   0, 348,   0,   0,   0,   0, 212,   0,   0,   0,  0, 429,  0, 0,  0,0, 151, 0, 61,  0, 23,  7, 46
