DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,SIGNFORM,KFUELOT,FARM,TENANT,BUSINESS,OTHERUSE,BILLUG,BLPUSE,BILLFOIL,BILLKER,BILLEL,BILLUGP,BILLLPGP,BILLFOLP,BILLKERP,BILLELP
1001, 20385,9,3,5,0,1628, 2976,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1002, 23584,9,3,7,3,1732, 4080,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1003, 15877,9,1,2,0, 720, 5408,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1004,  8712,9,2,4,0, 603, 8170,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1005,  7673,9,4,9,2, 238, 6467,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1006,  9307,9,3,7,0,1840, 3479,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1007,  8642,9,1,1,0, 227, 8566,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1008, 17450,9,4,9,2,1307,  839,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1009, 21990,9,2,3,0, 572, 6772,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1010, 15570,9,3,5,0,1005, 4679,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1011, 16482,9,4,9,2, 675, 2068,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1012, 11754,9,3,6,0,1433, 4268,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1013, 28529,9,3,7,3,1792, 3641,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1014, 16010,9,4,9,2,1948,  711,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1015, 11140,9,4,8,0, 287, 7981,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1016, 12022,9,4,9,0, 383, 6216,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1017, 13999,9,1,2,0, 356, 6520,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1018, 19833,9,2,3,0, 604, 6700,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1019, 12114,9,4,8,0, 164, 7544,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1020, 16773,9,1,2,0, 363, 6494,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1021,  7836,9,3,6,0,1635, 3016,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1022, 15142,9,4,8,0,2206, 2101,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1023,  6669,9,3,6,0,1745, 2659,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1024, 19833,9,2,3,0, 949, 6202,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1025, 16773,9,1,2,0, 603, 6050,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1026, 16482,9,4,9,2, 560, 1213,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1027, 16548,9,1,2,1, 396, 7115,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1028, 11411,9,3,5,4,4387,  133,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1029, 16659,9,2,3,0, 505, 7967,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1030,  9874,9,3,6,0,1402, 4291,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1031, 25427,9,2,4,0, 503, 7461,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1032,  8912,9,4,8,0, 762, 5054,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1033, 10434,9,1,1,0, 671, 6011,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1034, 17237,9,1,2,0,1072, 4712,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1035, 14103,9,3,7,3,3240, 1241,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1036,  8400,9,1,1,0, 355, 6913,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1037, 26445,9,2,3,0, 862, 6326,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1038, 31964,9,4,9,0, 287, 3978,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1039,  9836,9,1,1,0, 261, 8534,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1040, 17593,9,3,5,4,2522,  994,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1041, 10826,9,3,6,0,2767, 1438,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1042,  9130,9,3,7,3,2770, 1848,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1043, 13789,9,2,4,0, 670, 7659,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1044, 22566,9,3,7,3,2189, 2924,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1045, 13251,9,4,9,0, 436, 6049,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1046, 23165,9,2,3,0, 477, 6862,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1047, 22072,9,4,9,2, 624, 1979,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1048, 17657,9,4,9,2, 704, 1772,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1049, 16288,9,3,7,0,2756, 1820,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1050, 20342,9,2,4,0, 506, 8442,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1051, 18325,9,2,3,0, 607, 6619,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1052,  5878,9,3,6,0,1671, 3130,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1053, 11291,9,2,3,0, 501, 7501,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1054, 12952,9,2,3,0, 923, 6077,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1055,  6781,9,2,4,0, 512, 7437,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1056, 26445,9,2,3,0, 473, 7386,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1057, 18040,9,4,9,0, 461, 3958,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1058, 17791,9,3,6,0, 801, 5080,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1059, 21276,9,3,5,0, 901, 4425,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1060, 10516,9,3,6,0,1129, 4315,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1061, 43862,9,3,7,0,1625, 3919,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1062,  6961,9,4,9,2, 267, 6277,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1063, 34653,9,2,3,0, 718, 6525,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
