Cols,Type,Descr
DOEID,Character,Unique identifier for each respondent
REGIONC,Numeric,Census Region
DIVISION,Numeric,Census Division
TYPEHUQ,Numeric,Type of housing unit
CELLAR,Numeric,Housing unit over a basement
ZCELLAR,Numeric,Imputation flag for CELLAR
BASEFIN,Numeric,Finished basement
ZBASEFIN,Numeric,Imputation flag for BASEFIN
ATTIC,Numeric,Attic above the housing unit
ZATTIC,Numeric,Imputation flag for ATTIC
ATTICFIN,Numeric,Finished attic
ZATTICFIN,Numeric,Imputation flag for ATTICFIN
STORIES,Numeric,Number of stories in a single-family home
ZSTORIES,Numeric,Imputation flag for STORIES
PRKGPLC1,Numeric,Attached garage
ZPRKGPLC1,Numeric,Imputation flag for PRKGPLC1
KOWNRENT,Numeric,Own or rent
ZKOWNRENT,Numeric,Imputation flag for KOWNRENT
STUDIO,Numeric,Studio apartment
ZSTUDIO,Numeric,Imputation flag for STUDIO
BEDROOMS,Numeric,Number of bedrooms
ZBEDROOMS,Numeric,Imputation flag for BEDROOMS
NCOMBATH,Numeric,Number of full bathrooms
ZNCOMBATH,Numeric,Imputation flag for NCOMBATH
NHAFBATH,Numeric,Number of half bathrooms
ZNHAFBATH,Numeric,Imputation flag for NHAFBATH
OTHROOMS,Numeric,Number of other rooms
ZOTHROOMS,Numeric,Imputation flag for OTHROOMS
TOTROOMS,Numeric,"Total number of rooms in the housing unit, excluding bathrooms"
WALLTYPE,Numeric,Major outside wall material
ZWALLTYPE,Numeric,Imputation flag for WALLTYPE
HIGHCEIL,Numeric,High ceilings
ZHIGHCEIL,Numeric,Imputation flag for HIGHCEIL
DOOR1SUM,Numeric,Number of sliding glass doors
ZDOOR1SUM,Numeric,Imputation flag for DOOR1SUM
WINDOWS,Numeric,Number of windows
ZWINDOWS,Numeric,Imputation flag for WINDOWS
TYPEGLASS,Numeric,Type of glass in most windows
ZTYPEGLASS,Numeric,Imputation flag for TYPEGLASS
ADQINSUL,Numeric,Level of insulation
ZADQINSUL,Numeric,Imputation flag for ADQINSUL
DRAFTY,Numeric,Frequency of draft
ZDRAFTY,Numeric,Imputation flag for DRAFTY
SWIMPOOL,Numeric,Swimming pool
ZSWIMPOOL,Numeric,Imputation flag for SWIMPOOL
POOL,Numeric,Heated swimming pool
ZPOOL,Numeric,Imputation flag for POOL
FUELPOOL,Numeric,Fuel used for heating swimming pool
ZFUELPOOL,Numeric,Imputation flag for FUELPOOL
RECBATH,Numeric,Hot tub
ZRECBATH,Numeric,Imputation flag for RECBATH
FUELTUB,Numeric,Fuel used for heating hot tub
ZFUELTUB,Numeric,Imputation flag for FUELTUB
NUMFRIG,Numeric,Number of refrigerators used
ZNUMFRIG,Numeric,Imputation flag for NUMFRIG
SIZRFRI1,Numeric,Size of most-used refrigerator
ZSIZRFRI1,Numeric,Imputation flag for SIZRFRI1
TYPERFR1,Numeric,Door arrangement of most-used refrigerator
ZTYPERFR1,Numeric,Imputation flag for TYPERFR1
AGERFRI1,Numeric,Age of most-used refrigerator
ZAGERFRI1,Numeric,Imputation flag for AGERFRI1
ICE,Numeric,Through-the-door ice on most-used refrigerator
ZICE,Numeric,Imputation flag for ICE
SIZRFRI2,Numeric,Size of second most-used refrigerator
ZSIZRFRI2,Numeric,Imputation flag for SIZRFRI2
TYPERFR2,Numeric,Door arrangement of second most-used refrigerator
ZTYPERFR2,Numeric,Imputation flag for TYPERFR2
AGERFRI2,Numeric,Age of second most-used refrigerator
ZAGERFRI2,Numeric,Imputation flag for AGERFRI2
NUMFREEZ,Numeric,Number of separate freezers used
ZNUMFREEZ,Numeric,Imputation flag for NUMFREEZ
UPRTFRZR,Numeric,Door arrangement of most-used freezer
ZUPRTFRZR,Numeric,Imputation flag for UPRTFRZR
SIZFREEZ,Numeric,Size of most-used freezer
ZSIZFREEZ,Numeric,Imputation flag for SIZFREEZ
AGEFRZR,Numeric,Age of most-used freezer
ZAGEFRZR,Numeric,Imputation flag for AGEFRZR
STOVEN,Numeric,Number of stoves
ZSTOVEN,Numeric,Imputation flag for STOVEN
OVENUSE,Numeric,Frequency of use of oven part of stove
ZOVENUSE,Numeric,Imputation flag for OVENUSE
STOVE,Numeric,Number of separate cooktops
ZSTOVE,Numeric,Imputation flag for STOVE
OVEN,Numeric,Number of separate ovens
ZOVEN,Numeric,Imputation flag for OVEN
MICRO,Numeric,Microwave oven used
ZMICRO,Numeric,Imputation flag for MICRO
AMTMICRO,Numeric,Frequency of microwave use
ZAMTMICRO,Numeric,Imputation flag for AMTMICRO
NUMMEAL,Numeric,Frequency hot meals are cooked
ZNUMMEAL,Numeric,Imputation flag for NUMMEAL
COFFEE,Numeric,Coffee maker used
ZCOFFEE,Numeric,Imputation flag for COFFEE
DISHWASH,Numeric,Have dishwasher
ZDISHWASH,Numeric,Imputation flag for DISHWASH
DWASHUSE,Numeric,Frequency of dishwasher use
ZDWASHUSE,Numeric,Imputation flag for DWASHUSE
AGEDW,Numeric,Age of dishwasher
ZAGEDW,Numeric,Imputation flag for AGEDW
CWASHER,Numeric,Have clothes washer in home
ZCWASHER,Numeric,Imputation flag for CWASHER
TOPFRONT,Numeric,Top or front loading clothes washer
ZTOPFRONT,Numeric,Imputation flag for TOPFRONT
WASHLOAD,Numeric,Frequency of clothes washer use
ZWASHLOAD,Numeric,Imputation flag for WASHLOAD
WASHTEMP,Numeric,Water temperature used for wash cycle
ZWASHTEMP,Numeric,Imputation flag for WASHTEMP
RNSETEMP,Numeric,Water temperature used for rinse cycle
ZRNSETEMP,Numeric,Imputation flag for RNSETEMP
AGECWASH,Numeric,Age of clothes washer
ZAGECWASH,Numeric,Imputation flag for AGECWASH
DRYER,Numeric,Have clothes dryer in home
ZDRYER,Numeric,Imputation flag for DRYER
DRYRFUEL,Numeric,Fuel used by clothes dryer
ZDRYRFUEL,Numeric,Imputation flag for DRYRFUEL
DRYRUSE,Numeric,Frequency of clothes dryer use
ZDRYRUSE,Numeric,Imputation flag for DRYRUSE
AGECDRYER,Numeric,Age of clothes dryer
ZAGECDRYER,Numeric,Imputation flag for AGECDRYER
TVCOLOR,Numeric,Number of televisions used
ZTVCOLOR,Numeric,Imputation flag for TVCOLOR
INTERNET,Numeric,Internet access at home
ZINTERNET,Numeric,Imputation flag for INTERNET
INWIRELESS,Numeric,Wireless internet access
ZINWIRELESS,Numeric,Imputation flag for INWIRELESS
DNTHEAT,Numeric,"No space heating equipment, or unused space heating equipment"
ZDNTHEAT,Numeric,Imputation flag for DNTHEAT
EQUIPM,Numeric,Main space heating equipment type
ZEQUIPM,Numeric,Imputation flag for EQUIPM
FUELHEAT,Numeric,Main space heating fuel
ZFUELHEAT,Numeric,Imputation flag for FUELHEAT
EQUIPAGE,Numeric,Age of main space heating equipment
ZEQUIPAGE,Numeric,Imputation flag for EQUIPAGE
THERMAIN,Numeric,Any thermostats
ZTHERMAIN,Numeric,Imputation flag for THERMAIN
PROTHERM,Numeric,Programmable main thermostat
ZPROTHERM,Numeric,Imputation flag for PROTHERM
TEMPHOME,Numeric,Winter temperature when someone is home during the day
ZTEMPHOME,Numeric,Imputation flag for TEMPHOME
TEMPGONE,Numeric,Winter temperature when no one is home during the day
ZTEMPGONE,Numeric,Imputation flag for TEMPGONE
TEMPNITE,Numeric,Winter temperature at night
ZTEMPNITE,Numeric,Imputation flag for TEMPNITE
EQUIPAUX,Numeric,Secondary space heating equipment used
BASEHEAT,Numeric,Heating used in basement
ZBASEHEAT,Numeric,Imputation flag for BASEHEAT
ATTCHEAT,Numeric,Heating used in attic
ZATTCHEAT,Numeric,Imputation flag for ATTCHEAT
GARGHEAT,Numeric,Heating used in attached garage
ZGARGHEAT,Numeric,Imputation flag for GARGHEAT
MOISTURE,Numeric,Humidifier used
ZMOISTURE,Numeric,Imputation flag for MOISTURE
USEMOISTURE,Numeric,Number of months humidifier used in last year
ZUSEMOISTURE,Numeric,Imputation flag for USEMOISTURE
AIRCOND,Numeric,Air conditioning equipment used
ZAIRCOND,Numeric,Imputation flag for AIRCOND
COOLTYPE,Numeric,Type of air conditioning equipment used
ZCOOLTYPE,Numeric,Imputation flag for COOLTYPE
CENACHP,Numeric,Central air conditioner is a heat pump
ZCENACHP,Numeric,Imputation flag for CENACHP
AGECENAC,Numeric,Age of central air conditioner
ZAGECENAC,Numeric,Imputation flag for AGECENAC
THERMAINAC,Numeric,Thermostat for central air conditioner
ZTHERMAINAC,Numeric,Imputation flag for THERMAINAC
PROTHERMAC,Numeric,Programmable thermostat for central air conditioner
ZPROTHERMAC,Numeric,Imputation flag for PROTHERMAC
USECENAC,Numeric,Central air conditioner household behavior
ZUSECENAC,Numeric,Imputation flag for USECENAC
NUMBERAC,Numeric,Number of individual air conditioning units used
ZNUMBERAC,Numeric,Imputation flag for NUMBERAC
WWACAGE,Numeric,Age of most-used individual air conditioning unit
ZWWACAGE,Numeric,Imputation flag for WWACAGE
USEWWAC,Numeric,Most-used individual air conditioning unit household behavior
ZUSEWWAC,Numeric,Imputation flag for USEWWAC
TEMPHOMEAC,Numeric,Summer temperature when someone is home during the day
ZTEMPHOMEAC,Numeric,Imputation flag for TEMPHOMEAC
TEMPGONEAC,Numeric,Summer temperature when no one is home during the day
ZTEMPGONEAC,Numeric,Imputation flag for TEMPGONEAC
TEMPNITEAC,Numeric,Summer temperature at night
ZTEMPNITEAC,Numeric,Imputation flag for TEMPNITEAC
BASECOOL,Numeric,Cooling used in basement
ZBASECOOL,Numeric,Imputation flag for BASECOOL
ATTCCOOL,Numeric,Cooling used in attic
ZATTCCOOL,Numeric,Imputation flag for ATTCCOOL
GARGCOOL,Numeric,Cooling used in attached garage
ZGARGCOOL,Numeric,Imputation flag for GARGCOOL
SWAMPCOL,Numeric,Swamp cooler used
ZSWAMPCOL,Numeric,Imputation flag for SWAMPCOL
NUMCFAN,Numeric,Number of ceiling fans used
ZNUMCFAN,Numeric,Imputation flag for NUMCFAN
