COLUMN_NAME,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4,SAMPLE_5,SAMPLE_6,COLUMN_CATEGORY
REGIONC,1.0,3.0,4.0,2.0,4.0,1.0,CommonVariables
DIVISION,2.0,5.0,10.0,4.0,8.0,1.0,CommonVariables
CELLAR,0.0,0.0,0.0,0.0,1.0,1.0,Housing Unit Characteristics
STORIES,20.0,10.0,10.0,20.0,10.0,31.0,Housing Unit Characteristics
PRKGPLC1,1.0,9.0,0.0,0.0,1.0,1.0,Housing Unit Characteristics
YEARMADE,2.0,5.0,1.0,1.0,7.0,9.0,Housing Unit Characteristics
OCCUPYY,9.0,1.0,2.0,5.0,7.0,9.0,Housing Unit Characteristics
BEDROOMS,4.0,1.0,5.0,3.0,3.0,6.0,Housing Unit Characteristics
NCOMBATH,1.0,1.0,2.0,2.0,3.0,2.0,Housing Unit Characteristics
NHAFBATH,0.0,0.0,0.0,0.0,0.0,1.0,Housing Unit Characteristics
OTHROOMS,2.0,1.0,3.0,7.0,7.0,4.0,Housing Unit Characteristics
TOTROOMS,7.0,3.0,8.0,10.0,10.0,13.0,Housing Unit Characteristics
WINDOWS,4.0,3.0,42.0,60.0,30.0,6.0,"Water heating, Cooling and Miscell"
ADQINSUL,2.0,1.0,2.0,2.0,1.0,2.0,"Water heating, Cooling and Miscell"
DRAFTY,3.0,3.0,3.0,4.0,4.0,3.0,"Water heating, Cooling and Miscell"
FUELPOOL,99.0,99.0,-2.0,-2.0,-2.0,99.0,Other Appliances
SIZRFRI1,3.0,1.0,3.0,4.0,4.0,4.0,Kitchen Appliances
TYPERFR1,2.0,1.0,22.0,1.0,21.0,2.0,Kitchen Appliances
AGERFRI1,4.0,2.0,5.0,3.0,3.0,2.0,Kitchen Appliances
SIZRFRI2,9.0,9.0,-2.0,4.0,4.0,9.0,Kitchen Appliances
TYPERFR2,9.0,9.0,-2.0,1.0,22.0,9.0,Kitchen Appliances
AGERFRI2,99.0,99.0,-2.0,3.0,3.0,99.0,Kitchen Appliances
NUMFREEZ,0.0,0.0,-2.0,1.0,1.0,0.0,Kitchen Appliances
SIZFREEZ,9.0,9.0,-2.0,3.0,3.0,9.0,Kitchen Appliances
AGEFRZR,99.0,99.0,-2.0,5.0,3.0,99.0,Kitchen Appliances
STOVENFUEL,1.0,1.0,5.0,1.0,1.0,9.0,Kitchen Appliances
OVENUSE,2.0,4.0,0.0,2.0,2.0,9.0,Kitchen Appliances
AMTMICRO,4.0,9.0,3.0,7.0,7.0,2.0,Kitchen Appliances
NUMMEAL,3.0,3.0,2.0,4.0,2.0,4.0,Kitchen Appliances
DWASHUSE,99.0,99.0,-2.0,-2.0,3.0,13.0,Kitchen Appliances
WASHLOAD,4.0,9.0,2.0,5.0,3.0,3.0,Other Appliances
WASHTEMP,1.0,9.0,3.0,3.0,2.0,3.0,Other Appliances
