COLUMN_NAME,SAMPLE 1,SAMPLE 2,SAMPLE 3,SAMPLE 4,SAMPLE 5,SAMPLE 6,SAMPLE 7,SAMPLE 8,SAMPLE 9,SAMPLE 10,COLUMN_CATEGORY
RECSYEAR,2009,2009,2001,2001,2009,2009,2009,2009,2015,2015,CommonVariables
COUNTRY,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,CommonVariables
DOEID,1676,6872,1717,1339,1501,4706,5229,5898,10600,10297,CommonVariables
REGIONC,3,3,2,4,2,3,1,4,1,4,CommonVariables
REGIONNAME,South,South,Midwest,West,Midwest,South,Northeast,West,Northeast,West,CommonVariables
DIVISION,5,5,4,8,3,5,2,10,1,10,CommonVariables
DIVISIONNAME,South Atlantic,South Atlantic,West North Central,Mountain,East North Central,South Atlantic,Middle Atlantic,Pacific,New England,Pacific,CommonVariables
TYPEHUQ,5,1,2,2,2,2,3,5,2,3,CommonVariables
CELLAR,-2,-2,0,0,1,0,0,-2,-2,-2,Housing Unit Characteristics
STORIES,-2,10,10,20,20,10,10,-2,10,10,Housing Unit Characteristics
PRKGPLC1,-2,0,1,1,1,1,0,-2,0,1,Housing Unit Characteristics
YEARMADE,2,6,5,12,1,6,5,5,2,4,Housing Unit Characteristics
OCCUPYY,8,8,9,2,2,6,7,8,6,8,Housing Unit Characteristics
BEDROOMS,1,3,1,4,3,3,2,2,1,2,Housing Unit Characteristics
NCOMBATH,1,2,1,2,1,2,2,2,1,1,Housing Unit Characteristics
NHAFBATH,0,0,0,1,1,0,0,0,0,0,Housing Unit Characteristics
OTHROOMS,2,2,1,3,3,5,3,1,2,3,Housing Unit Characteristics
TOTROOMS,3,5,3,10,6,8,5,3,3,5,Housing Unit Characteristics
DOOR1SUM,0,0,0,0,0,1,2,0,1,1,"Water heating, Cooling and Miscell"
WINDOWS,42,41,3,3,42,41,30,20,41,20,"Water heating, Cooling and Miscell"
ADQINSUL,3,2,1,1,2,1,3,2,2,2,"Water heating, Cooling and Miscell"
DRAFTY,2,4,4,4,3,4,3,2,3,4,"Water heating, Cooling and Miscell"
UGASHERE,1,0,0,1,1,0,1,0,1,1,Housing Unit Characteristics
FUELPOOL,-2,-2,99,99,-2,-2,-2,-2,-2,-2,Other Appliances
SIZRFRI1,3,4,4,4,4,3,4,4,3,4,Kitchen Appliances
TYPERFR1,1,22,2,2,22,21,23,22,22,1,Kitchen Appliances
AGERFRI1,2,41,3,1,41,41,3,3,5,3,Kitchen Appliances
ICE,0,0,1,0,0,1,0,0,0,0,Kitchen Appliances
SIZRFRI2,-2,-2,9,9,-2,3,-2,-2,-2,-2,Kitchen Appliances
TYPERFR2,-2,-2,9,9,-2,22,-2,-2,-2,-2,Kitchen Appliances
AGERFRI2,-2,-2,99,99,-2,3,-2,-2,-2,-2,Kitchen Appliances
NUMFREEZ,-2,-2,0,0,1,-2,-2,-2,1,1,Kitchen Appliances
SIZFREEZ,-2,-2,9,9,1,-2,-2,-2,2,2,Kitchen Appliances
AGEFRZR,-2,-2,99,99,3,-2,-2,-2,3,2,Kitchen Appliances
STOVENFUEL,1,5,1,1,5,2,1,5,5,5,Kitchen Appliances
OVENUSE,5,4,3,2,6,5,4,4,5,4,Kitchen Appliances
AMTMICRO,1,3,2,4,1,2,3,1,7,20,Kitchen Appliances
NUMMEAL,5,1,4,3,2,4,4,2,4,2,Kitchen Appliances
TOASTER,0,0,1,0,0,1,0,1,1,1,Kitchen Appliances
COFFEE,1,0,1,1,0,1,1,1,1,1,Kitchen Appliances
DWASHUSE,-2,20,99,20,-2,13,13,20,0,1,Kitchen Appliances
WASHLOAD,-2,3,2,3,2,3,1,2,5,6,Other Appliances
WASHTEMP,-2,3,2,2,2,3,3,2,3,3,Other Appliances
RNSETEMP,-2,3,3,3,3,3,3,2,2,3,Other Appliances
DRYRUSE,-2,2,1,1,-2,1,1,3,5,6,Other Appliances
EQUIPM,3,3,3,3,3,-2,3,5,8,3,Space Heating
FUELHEAT,1,5,2,1,1,-2,1,5,7,1,Space Heating
EQUIPAGE,2,41,3,1,42,3,42,3,42,2,Space Heating
PROTHERM,0,1,0,0,0,-2,0,0,1,0,Space Heating
TEMPHOME,75,68,70,68,72,-2,68,65,68,72,Space Heating
TEMPGONE,73,58,65,68,62,-2,62,55,65,67,Space Heating
TEMPNITE,73,68,68,68,62,-2,62,60,65,65,Space Heating
EQUIPAUX,0,1,1,0,0,-2,0,1,1,0,Space Heating
REVERSE,0,0,0,0,0,0,0,0,0,0,Space Heating
WARMAIR,0,0,0,0,0,0,0,0,0,0,Space Heating
STEAMR,0,0,0,0,0,0,0,0,0,0,Space Heating
PERMELEC,0,0,0,0,0,0,0,0,0,0,Space Heating
PIPELESS,0,0,0,0,0,0,0,0,0,0,Space Heating
ROOMHEAT,0,0,0,0,0,0,0,0,0,0,Space Heating
WOODKILN,0,0,1,0,0,0,0,0,0,0,Space Heating
CARRYEL,0,1,0,0,0,0,0,0,0,0,Space Heating
CARRYKER,0,0,0,0,0,0,0,0,0,0,Space Heating
CHIMNEY,0,0,1,0,0,0,0,1,0,0,Space Heating
RANGE,0,0,0,0,0,0,0,0,0,0,Space Heating
DIFEQUIP,0,0,0,0,0,0,0,0,1,0,Space Heating
ELECAUX,0,0,0,0,0,0,0,0,0,0,Space Heating
UGASAUX,0,0,0,0,0,0,0,0,0,0,Space Heating
LPGAUX,0,0,0,0,0,0,0,0,1,0,Space Heating
FOKRAUX,0,0,0,0,0,0,0,0,0,0,Space Heating
WOODAUX,0,0,1,0,0,0,0,1,0,0,Space Heating
OTHERAUX,0,0,0,0,0,0,0,0,0,0,Space Heating
ATTCHEAT,-2,-2,9,9,-2,0,0,-2,-2,-2,Housing Unit Characteristics
GARGHEAT,-2,-2,0,1,0,0,-2,-2,-2,0,Housing Unit Characteristics
COOLTYPE,1,1,1,1,1,1,1,-2,2,1,"Water heating, Cooling and Miscell"
AGECENAC,41,41,3,1,42,41,42,-2,-2,2,"Water heating, Cooling and Miscell"
USECENAC,3,3,3,1,1,3,1,-2,-2,2,"Water heating, Cooling and Miscell"
NUMBERAC,-2,-2,0,0,-2,-2,-2,-2,1,-2,"Water heating, Cooling and Miscell"
WWACAGE,-2,-2,99,99,-2,-2,-2,-2,2,-2,"Water heating, Cooling and Miscell"
USEWWAC,-2,-2,9,9,-2,-2,-2,-2,4,-2,"Water heating, Cooling and Miscell"
NUMCFAN,1,2,3,1,1,4,2,1,2,1,Other Appliances
FUELH2O,1,5,5,1,5,5,1,5,1,1,"Water heating, Cooling and Miscell"
WHEATAGE,2,1,3,1,3,41,42,3,1,41,"Water heating, Cooling and Miscell"
WHEATSIZ,3,1,2,2,3,3,3,2,2,2,"Water heating, Cooling and Miscell"
