,REGIONC,DIVISION,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,WINDOWS,ADQINSUL,DRAFTY,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,DWASHUSE,WASHLOAD,WASHTEMP,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,ELECAUX,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,MONEYPY,TOTCSQFT,TOTHSQFT,TOTUSQFT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTUFO,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,WOODAMT,RECBATH,NUMFRIG,LPWATER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
12000,4,10,-2,-2,-2,1970,8,2,1,0,2,4,20,1,4,-2,4,22,3,1,3,2,-2,-2,-2,1,4,3,4,12,-2,-2,7,1,5,-2,68,61,65,0,-2,-2,2,2,2,1,1,5,3,-2,-9,1,2,22,1,1,2,16,453,680,227,559,1380,0.0,111.0,27733.0,3506.35,2273.75,0.0,5376.78,16576.11,0.0,1150.0,145.4,94.29,0.0,222.96,687.36,39110.99,-2.0,0,2,0,5,4,0
12001,2,3,1,10,1,1978,7,4,3,0,3,7,41,1,4,-2,3,22,41,1,3,1,1,3,3,5,2,2,2,30,3,3,3,1,1,1,68,68,65,0,1,3,-2,-2,-2,2,1,1,2,2,0,1,1,34,0,1,5,12,1650,1923,400,511,6451,0.0,426.0,44318.0,0.0,2293.06,0.0,2940.13,39084.81,0.0,1549.0,0.0,80.15,0.0,102.76,1366.09,87983.0,-2.0,0,2,0,18,4,2
12002,2,3,1,20,1,1996,6,3,3,1,4,7,50,2,3,-2,4,21,41,4,21,41,-2,-2,-2,1,4,3,4,30,3,2,3,1,41,1,72,72,72,0,41,3,-2,-2,-2,4,1,2,3,4,-2,1,2,38,1,1,3,23,1696,3831,400,398,6725,0.0,1353.0,38266.0,0.0,1798.17,0.0,7796.91,28670.92,0.0,1456.0,0.0,68.42,0.0,296.67,1090.91,176948.99,-2.0,0,2,0,13,2,2
12003,2,4,0,40,0,1920,5,2,1,0,4,6,30,3,3,-2,5,21,2,-2,-2,-2,-2,-2,-2,1,6,2,4,-2,1,1,3,1,3,0,70,66,66,0,-2,-2,2,42,1,2,1,1,2,0,-2,1,2,62,0,1,1,7,615,1844,0,479,7582,0.0,845.0,12655.0,1307.0,378.7,0.0,4325.52,6643.78,0.0,369.0,38.11,11.04,0.0,126.13,193.72,99268.0,-2.0,0,1,0,2,1,0
12004,4,8,-2,-2,-2,1979,7,1,1,0,2,3,10,1,4,-2,3,22,5,-2,-2,-2,-2,-2,-2,5,0,-2,4,-2,-2,-2,2,5,5,0,70,70,75,0,-2,-2,-2,-2,-2,1,2,41,3,-2,-2,-2,2,62,1,1,1,6,0,840,0,413,6210,78.0,0.0,9724.0,6991.55,0.0,0.0,1266.8,1465.36,0.0,360.0,258.95,0.0,0.0,46.92,54.27,16874.71,-2.0,0,1,1,0,3,0
12005,2,3,1,20,1,2001,8,4,2,1,5,9,30,2,4,-2,5,21,3,-2,-2,-2,-2,-2,-2,5,4,3,3,20,3,3,3,1,3,1,70,70,70,0,3,2,-2,-2,-2,0,1,3,2,1,0,1,2,35,1,1,3,13,2456,2456,400,378,6518,0.0,641.0,61044.0,0.0,4381.61,0.0,11629.2,45033.19,0.0,1530.0,0.0,109.82,0.0,291.47,1128.71,126747.0,-2.0,0,1,0,7,5,2
12006,3,5,-2,10,0,1981,6,2,1,1,2,4,41,2,3,-2,3,22,5,3,22,5,-2,-2,-2,5,6,1,2,-2,2,3,10,5,41,-2,65,65,65,0,-2,-2,3,3,3,2,5,41,2,-2,-2,-2,1,64,0,1,2,6,588,784,0,3703,650,26.0,0.0,43274.0,3289.75,19610.75,5792.66,5138.51,9442.34,0.0,1426.0,108.41,646.23,190.88,169.33,311.15,45579.01,-2.0,0,2,0,7,3,0
12007,4,8,1,20,1,2003,8,5,3,1,6,11,50,1,4,-2,4,21,1,-2,-2,-2,1,2,2,1,4,3,3,20,2,2,3,1,3,1,70,68,70,0,3,2,-2,-2,-2,2,1,3,2,3,1,1,1,57,2,1,3,24,6921,6921,650,698,5507,0.0,945.0,61388.0,0.0,13709.07,0.0,4145.25,43534.16,0.0,1745.0,0.0,389.67,0.0,117.83,1237.43,158251.49,-2.0,1,1,0,15,2,1
12008,3,5,1,20,0,1920,8,3,2,0,5,8,41,2,4,-2,3,22,3,-2,-2,-2,-2,-2,-2,1,4,2,4,-2,2,3,2,3,5,1,72,68,68,0,-2,-2,2,1,2,2,5,1,2,0,-2,-2,2,59,1,2,2,10,714,1428,0,1542,4062,0.0,276.0,14139.0,869.63,2214.91,3877.64,1121.62,6055.21,45228.0,722.0,44.41,113.1,198.01,57.28,309.21,87657.01,-2.0,0,1,0,6,4,2
12009,4,10,-2,10,0,1978,8,3,1,1,1,4,41,3,3,-2,4,22,3,-2,-2,-2,-2,-2,-2,1,3,4,2,-2,3,3,3,1,3,1,72,68,72,0,-2,-2,-2,-2,-2,0,5,5,2,-2,-2,1,1,28,1,1,4,14,0,980,0,9,10272,0.0,1042.0,19162.0,0.0,0.0,8365.3,2447.39,8349.32,0.0,948.0,0.0,0.0,413.86,121.08,413.07,125967.01,-2.0,0,1,0,4,3,2
