,REGIONC,DIVISION,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,WINDOWS,ADQINSUL,DRAFTY,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,DWASHUSE,WASHLOAD,WASHTEMP,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,ELECAUX,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,MONEYPY,TOTCSQFT,TOTHSQFT,TOTUSQFT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTUFO,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,WOODAMT,RECBATH,NUMFRIG,LPWATER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
1001,3,5,1,20,1,13,3,4,3,1,7,15,6,1,3,99,4,2,1,9,9,99,0,9,99,9,2,4,2,20,5,2,3,1,1,0,70,65,68,1,1,2,0,99,9,0,1,1,3,0,-9,1,2,49,1,1,4,10,11088,11688,0,1125,4263,0.0,2042.0,103162.0,2109.0,33363.0,0.0,7691.0,74470.0,0.0,2094.0,43.0,677.0,0.0,156.0,1511.0,327755.0,0.0,0,1,0,12,8,2
1002,3,7,0,20,0,1,9,1,1,0,3,5,3,2,3,99,2,3,2,9,9,99,0,9,99,1,3,3,1,99,9,9,6,1,3,9,72,72,72,0,99,9,1,3,2,2,1,4,2,0,-9,2,2,54,1,2,2,6,1550,1550,0,3086,1189,0.0,279.0,11463.0,0.0,4555.0,0.0,2125.0,4783.0,0.0,362.0,0.0,144.0,0.0,67.0,151.0,40168.0,0.0,0,1,0,2,0,0
1003,3,7,9,99,9,7,9,0,1,0,1,2,1,3,3,99,3,2,1,9,9,99,0,9,99,1,1,9,2,11,9,9,3,5,96,0,70,70,70,0,96,3,0,99,9,1,1,0,0,0,-9,9,2,45,1,1,2,2,258,258,0,2642,2294,0.0,83.0,20390.0,3914.0,5704.0,0.0,3287.0,7485.0,0.0,490.0,94.0,137.0,0.0,79.0,180.0,28886.0,0.0,0,1,0,4,2,1
1004,4,8,0,10,0,2,9,3,2,0,3,8,4,2,4,99,5,2,3,3,2,3,1,4,4,1,3,4,2,99,3,2,3,1,3,0,68,68,68,1,3,2,0,99,9,3,5,2,3,1,-9,1,1,84,0,7,4,7,1640,1640,0,5161,1093,0.0,205.0,58004.0,908.0,18924.0,8487.0,9096.0,28294.0,0.0,1380.0,22.0,450.0,202.0,216.0,673.0,86804.0,0.0,0,2,0,7,0,2
1005,4,8,1,20,1,5,9,3,3,0,3,9,4,1,4,99,4,2,2,3,2,4,0,9,99,1,3,2,2,13,2,1,3,1,5,1,70,60,60,1,5,1,0,99,9,0,1,3,2,1,-9,1,2,65,0,1,2,9,2529,2529,400,663,5576,0.0,812.0,26958.0,1125.0,2510.0,0.0,5703.0,21107.0,0.0,592.0,25.0,55.0,0.0,125.0,463.0,114000.0,0.0,0,2,0,12,4,3
1006,4,9,9,99,0,5,9,3,2,0,4,9,4,2,4,99,3,2,4,9,9,99,1,3,4,9,3,4,2,13,2,3,3,1,3,1,68,68,95,1,4,1,0,99,9,0,1,2,2,0,-9,1,2,75,0,1,2,5,1848,1056,792,106,4670,0.0,831.0,26344.0,1440.0,633.0,0.0,4885.0,26941.0,0.0,490.0,27.0,12.0,0.0,91.0,501.0,119409.0,0.0,0,1,0,9,4,2
1007,4,9,0,20,9,3,9,3,1,1,3,8,4,3,3,99,4,2,2,9,9,99,0,9,99,1,3,3,4,13,2,2,3,1,5,1,65,95,65,0,99,9,0,99,9,0,1,1,2,0,-9,1,1,59,1,1,2,10,0,1875,0,135,2642,0.0,586.0,10649.0,0.0,0.0,0.0,2293.0,9435.0,0.0,386.0,0.0,0.0,0.0,83.0,342.0,72027.0,0.0,0,1,0,2,2,3
1008,4,9,9,99,9,1,9,1,1,0,3,5,3,3,2,99,3,2,96,9,9,99,0,9,99,1,5,4,4,13,9,9,3,1,5,1,68,68,68,0,99,9,0,99,9,0,1,5,6,0,-9,1,1,32,1,7,2,10,0,804,0,135,2642,0.0,316.0,14747.0,0.0,0.0,0.0,2789.0,13686.0,0.0,473.0,0.0,0.0,0.0,89.0,439.0,48941.0,0.0,0,1,0,5,3,3
1009,1,1,1,20,9,1,2,2,1,0,3,6,4,3,2,99,3,2,96,9,9,99,0,9,99,1,2,3,3,99,9,9,3,1,96,0,70,50,70,0,99,9,0,99,9,0,1,96,2,0,-9,1,2,30,1,1,3,8,0,1227,1226,903,5053,0.0,1109.0,12768.0,0.0,0.0,0.0,3796.0,8972.0,0.0,502.0,0.0,0.0,0.0,149.0,353.0,126902.0,0.0,0,1,0,6,0,2
1010,1,1,1,20,9,5,3,2,1,0,2,5,3,2,2,99,3,2,3,9,9,99,0,9,99,1,5,2,3,99,9,9,7,1,96,9,96,96,96,0,99,9,0,99,9,0,1,96,2,0,-9,1,2,27,0,41,4,1,0,1266,0,903,5053,0.0,890.0,34550.0,0.0,0.0,0.0,10852.0,23698.0,0.0,1170.0,0.0,0.0,0.0,367.0,803.0,126131.0,0.0,0,1,0,1,1,2
1011,1,2,1,10,0,1,9,2,1,0,2,5,3,3,3,99,3,2,3,9,9,99,0,9,99,1,2,4,3,99,3,2,2,1,4,0,68,58,64,1,99,9,1,3,3,2,1,2,3,0,-9,1,1,30,1,1,2,8,805,1610,0,653,6217,0.0,1178.0,23649.0,1584.0,3886.0,0.0,3390.0,19767.0,0.0,887.0,59.0,146.0,0.0,127.0,742.0,149843.0,0.0,0,1,0,4,0,3
1012,1,2,1,20,1,9,9,4,2,2,4,12,4,1,4,99,3,2,3,9,9,99,0,9,99,1,3,4,2,20,2,2,4,5,3,0,70,66,68,0,3,3,0,99,9,5,5,3,3,1,-9,9,2,40,1,1,4,8,3271,3271,400,801,5235,0.0,0.0,64802.0,18771.0,7646.0,10636.0,2693.0,29201.0,0.0,1526.0,442.0,180.0,251.0,63.0,688.0,68947.0,0.0,0,1,0,8,6,3
1013,1,2,0,20,0,8,9,2,1,1,3,7,3,1,4,99,3,2,4,9,9,99,0,9,99,1,3,4,3,20,2,1,4,5,4,0,70,70,70,1,4,3,0,99,9,0,5,4,2,1,-9,9,1,29,1,1,4,8,1949,1949,0,714,5631,0.0,0.0,27381.0,8628.0,2618.0,4435.0,1861.0,12033.0,0.0,724.0,228.0,69.0,118.0,49.0,318.0,29575.0,0.0,0,1,0,5,3,3
1014,2,3,1,20,1,9,9,4,2,1,3,10,4,1,3,99,5,2,4,9,9,99,0,9,99,1,3,2,4,20,3,2,3,1,3,0,72,72,72,0,3,2,0,99,9,5,1,3,3,1,-9,1,2,46,1,1,2,10,4478,4478,400,974,4752,0.0,874.0,60833.0,0.0,13544.0,0.0,10458.0,44095.0,0.0,1168.0,0.0,260.0,0.0,201.0,847.0,158032.0,0.0,0,1,0,7,6,3
1015,2,3,1,10,1,4,9,3,1,1,4,9,3,1,4,99,3,2,4,9,9,99,0,9,99,1,3,2,3,13,2,2,3,1,3,0,70,70,68,0,3,1,0,99,9,3,1,4,2,0,-9,1,1,69,0,1,1,6,2800,2800,400,620,6215,0.0,1011.0,13655.0,0.0,1724.0,0.0,3055.0,10240.0,0.0,243.0,0.0,31.0,0.0,54.0,182.0,119051.0,0.0,0,1,0,7,0,3
1016,2,3,1,40,1,4,9,4,1,1,3,9,4,1,4,99,3,2,1,3,2,4,0,9,99,1,3,3,3,12,4,2,3,1,3,1,70,70,70,0,3,2,0,99,9,1,1,4,2,0,-9,1,1,31,0,1,5,6,4288,2956,1732,620,6215,0.0,893.0,47202.0,0.0,8198.0,0.0,10816.0,36249.0,0.0,1237.0,0.0,215.0,0.0,283.0,950.0,147153.0,0.0,0,2,0,10,5,3
1017,2,3,1,40,1,5,9,4,1,0,3,8,4,1,4,99,4,2,3,9,9,99,1,2,2,1,3,4,3,30,3,3,3,1,5,0,70,70,70,0,99,9,0,99,9,4,1,1,3,1,-9,1,1,37,1,1,5,8,0,4532,400,620,6215,0.0,1213.0,22724.0,0.0,0.0,0.0,2305.0,27301.0,0.0,557.0,0.0,0.0,0.0,56.0,670.0,154424.0,0.0,0,1,0,7,3,3
1018,2,3,9,99,0,5,9,2,1,0,2,5,3,1,4,99,3,1,4,3,2,4,0,9,99,1,5,3,5,99,3,3,3,1,3,0,70,70,70,0,99,9,0,99,9,0,5,3,1,0,-9,1,1,50,1,1,3,3,0,576,0,620,6215,0.0,628.0,17152.0,0.0,0.0,4736.0,3987.0,10646.0,0.0,353.0,0.0,0.0,98.0,82.0,219.0,83990.0,0.0,0,2,0,4,0,2
1019,2,3,1,10,1,3,9,3,1,2,4,10,4,1,4,99,3,2,3,3,2,4,1,4,4,1,3,2,3,13,2,2,2,1,5,0,68,64,68,1,4,1,0,99,9,4,1,3,3,1,-9,1,1,50,2,1,2,10,3692,4092,0,1072,5409,0.0,1895.0,52316.0,1375.0,5981.0,0.0,11291.0,42289.0,0.0,1148.0,30.0,131.0,0.0,248.0,928.0,255932.0,100.0,0,3,0,10,2,2
1020,3,5,1,10,0,11,3,2,1,0,2,5,3,2,4,99,3,2,1,9,9,99,0,9,99,1,5,4,4,99,9,9,3,5,1,0,65,55,65,0,1,3,0,99,9,0,5,1,3,1,-9,9,1,44,1,2,2,1,553,512,41,2726,992,0.0,0.0,56557.0,4571.0,15434.0,14833.0,5411.0,16308.0,0.0,1223.0,99.0,334.0,321.0,117.0,352.0,56557.0,0.0,0,1,0,5,0,1
