,REGIONC,DIVISION,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,WINDOWS,ADQINSUL,DRAFTY,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,DWASHUSE,WASHLOAD,WASHTEMP,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,ELECAUX,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,MONEYPY,TOTCSQFT,TOTHSQFT,TOTUSQFT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTUFO,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,WOODAMT,RECBATH,NUMFRIG,LPWATER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
10000,4,10,0,10,1,1984,5,2,2,0,3,5,41,2,4,-2,2,22,2,2,22,2,-2,-2,-2,1,6,1,2,-2,3,2,-2,-2,5,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,0,1,5,2,0,-2,-2,1,63,0,1,2,5,0,0,2240,358,2224,0.0,188.0,17029.0,0.0,0.0,0.0,4746.24,12282.76,0.0,442.0,0.0,0.0,0.0,123.19,318.81,36299.0,-2.0,0,2,0,3,0,2
10001,3,5,0,10,1,2006,8,3,2,0,2,5,20,2,4,5,4,21,2,-2,-2,-2,-2,-2,-2,5,4,3,3,13,2,1,3,5,2,0,72,68,72,0,2,2,-2,-2,-2,4,5,2,2,0,1,-2,1,66,0,1,1,9,1664,1664,400,4162,299,0.0,0.0,47826.0,2039.0,12494.25,3197.97,2567.87,27526.92,0.0,1701.0,72.52,444.38,113.74,91.33,979.03,47826.01,-2.0,0,1,0,2,3,0
10002,4,10,-2,-2,-2,1976,8,2,2,0,2,4,20,3,1,-2,3,22,2,-2,-2,-2,-2,-2,-2,5,4,3,4,13,-2,-2,5,5,1,-2,72,68,69,0,-2,-2,1,5,1,3,2,1,3,-2,-9,-2,2,30,1,1,2,23,286,858,286,1488,757,186.0,0.0,22393.0,3594.39,782.26,0.0,1642.72,16373.64,0.0,971.0,155.86,33.92,0.0,71.23,709.99,39387.01,-2.0,0,1,1,8,18,0
10003,3,5,1,10,1,2001,7,3,3,0,4,7,41,2,3,-2,3,22,3,-2,-2,-2,1,3,5,5,4,2,2,30,3,2,4,5,3,0,70,65,68,0,3,2,-2,-2,-2,1,5,1,2,0,0,-2,2,49,1,1,4,18,2122,2122,974,896,5049,207.0,0.0,72747.0,17206.01,5550.29,11914.73,3560.07,34515.9,0.0,1740.0,411.54,132.76,284.98,85.15,825.57,91630.0,-2.0,0,1,0,9,3,1
10004,2,4,1,10,1,1970,8,4,1,1,4,8,41,2,4,-2,3,22,3,3,22,3,-2,-2,-2,-2,6,3,6,12,2,3,3,1,2,0,68,68,68,0,3,3,-2,-2,-2,0,1,3,1,0,-9,1,2,34,1,1,1,9,1738,1738,463,1056,5045,0.0,431.0,46594.0,2124.48,7346.65,0.0,7460.16,29662.72,0.0,1072.0,48.88,169.03,0.0,171.64,682.46,90772.01,-2.0,1,2,0,18,6,0
10005,3,7,-2,-2,-2,2002,8,1,1,0,2,3,10,2,3,-2,3,22,2,-2,-2,-2,-2,-2,-2,5,6,3,2,13,-2,-2,3,5,3,1,75,65,65,0,3,1,-2,-2,-2,0,5,3,-2,-2,0,-2,2,30,1,1,2,5,576,576,0,3297,1336,0.0,0.0,13341.0,2652.37,1321.02,2661.55,1517.83,5188.25,0.0,666.0,132.41,65.95,132.87,75.77,259.0,13341.02,-2.0,0,1,0,11,3,0
10006,2,3,1,20,0,1920,8,2,1,0,3,5,41,2,4,-2,3,21,3,-2,-2,-2,-2,-2,-2,5,4,3,3,-2,-2,-2,3,1,1,1,63,63,63,0,3,1,-2,-2,-2,2,5,1,2,0,-2,1,2,57,0,1,2,10,1650,1650,738,365,7664,0.0,578.0,24986.0,2221.53,814.6,7844.61,2907.93,11197.34,0.0,874.0,77.71,28.49,274.4,101.72,391.68,84231.01,-2.0,0,1,0,7,0,2
10007,4,10,0,20,0,1967,7,3,2,0,5,8,42,1,3,-2,3,22,3,-2,-2,-2,-2,-2,-2,-2,2,3,3,30,4,2,5,5,5,-2,71,63,50,0,-2,-2,-2,-2,-2,0,5,2,2,0,1,-2,1,81,0,1,1,5,0,1674,239,267,5037,0.0,0.0,102568.0,33485.68,0.0,15775.36,8209.0,45097.96,0.0,1943.0,634.34,0.0,298.84,155.51,854.32,102568.0,1.0,0,1,0,5,3,2
10008,2,4,1,20,0,1940,8,4,1,0,4,8,41,3,2,-2,4,22,3,-2,-2,-2,-2,-2,-2,5,4,1,4,11,3,2,3,1,1,1,67,65,65,0,3,2,-2,-2,-2,0,5,3,2,0,-2,1,2,25,1,1,3,11,1584,1810,711,555,6936,0.0,533.0,64381.0,3249.74,3870.58,16885.07,6499.78,33875.83,0.0,2160.0,109.03,129.86,566.5,218.07,1136.54,119014.0,-2.0,0,1,0,4,0,2
10009,3,5,0,10,0,1955,8,3,1,0,2,5,41,3,2,-2,3,22,1,-2,-2,-2,-2,-2,-2,5,6,3,6,-2,2,3,4,5,1,1,74,78,74,0,1,2,-2,-2,-2,2,5,41,1,1,-2,-2,1,26,1,1,1,7,988,988,988,1692,3131,0.0,0.0,44902.0,12477.11,6220.9,7667.57,2810.73,15725.69,0.0,1411.0,392.08,195.49,240.95,88.32,494.16,44902.0,-2.0,0,1,0,3,0,0
10010,4,10,0,10,1,1985,6,3,2,0,4,7,30,2,3,-2,4,21,3,3,22,3,-2,-2,-2,5,4,3,3,13,2,3,3,1,2,1,68,63,68,0,2,1,-2,-2,-2,5,1,3,2,0,1,1,2,54,1,1,2,24,1224,1224,890,2499,1983,0.0,421.0,38539.0,0.0,3828.88,0.0,5314.76,29395.37,0.0,1957.0,0.0,194.43,0.0,269.88,1492.69,81692.01000000001,-2.0,1,2,0,8,3,1
10011,2,3,0,10,0,1960,4,3,1,0,3,6,30,2,4,-2,4,21,2,-2,-2,-2,1,1,41,5,2,3,2,-2,2,3,3,1,2,1,65,60,50,0,41,3,-2,-2,-2,2,1,3,2,0,-2,1,1,63,1,1,2,12,1200,1200,1200,614,6066,0.0,611.0,34690.0,2434.98,3026.12,0.0,4794.56,24434.35,0.0,918.0,64.44,80.08,0.0,126.88,646.61,97317.51,-2.0,0,1,0,6,4,2
