index,Actual,Classic Lasso,Elasticnet,LassoCV,LinearRegression,RandomForest,RidgeCV,XGBoost
11237,629.0,832.22,832.69,853.24,832.05,689.09,832.05,633.33
19153,2073.01,1444.69,1443.41,1447.47,1444.8,1763.73,1444.8,1882.98
18970,1055.24,1044.06,1044.49,1051.93,1044.07,1150.77,1044.07,1146.35
14538,769.0,932.18,933.85,936.03,932.03,882.94,932.03,895.02
2699,951.0,816.61,816.76,801.15,816.53,1008.97,816.53,820.32
263,955.0,875.32,874.45,867.88,875.34,1050.51,875.34,1014.7
12079,588.0,750.3,750.62,751.61,750.22,506.59,750.22,479.99
12049,335.0,590.92,590.12,603.11,590.92,297.69,590.92,255.69
18487,539.06,779.57,779.6,786.07,779.54,423.07,779.54,548.97
3507,604.0,346.75,337.64,329.02,347.3,688.22,347.3,650.62
13017,660.0,1025.54,1024.95,1030.39,1025.49,817.51,1025.49,759.37
4004,833.0,814.28,813.79,821.38,814.25,961.34,814.25,750.89
3813,503.0,835.59,834.75,840.75,835.66,642.55,835.66,617.46
34,1426.0,1722.1,1721.31,1712.77,1722.3,1348.91,1722.3,1415.74
4662,694.0,340.7,340.12,340.07,340.64,728.91,340.64,732.87
16544,918.28,1096.96,1097.64,1107.11,1097.0,950.97,1097.0,904.7
628,577.0,680.86,681.15,679.16,680.88,734.08,680.88,615.56
18567,850.11,940.15,939.52,943.46,940.11,976.32,940.11,850.7
12726,478.0,683.7,682.91,682.92,683.8,808.1,683.8,699.74
419,920.0,1212.13,1212.03,1237.58,1211.91,1008.14,1211.91,997.34
3903,541.0,642.92,642.12,661.73,642.76,717.55,642.76,581.33
11950,533.0,619.59,620.82,617.21,619.52,608.87,619.52,696.03
4548,1649.0,1871.95,1871.95,1863.77,1871.95,1429.65,1871.95,1542.18
5451,941.0,1116.72,1116.08,1118.4,1116.62,1171.93,1116.62,991.13
17916,918.54,833.16,833.65,845.9,833.17,1229.34,833.17,946.06
8502,422.0,600.13,599.39,603.64,600.14,385.95,600.14,394.92
12856,2276.0,2195.69,2195.89,2189.46,2195.57,1981.86,2195.57,2018.47
12972,552.0,601.46,601.91,602.34,601.77,538.28,601.77,662.61
6004,1755.0,1906.87,1905.42,1898.59,1906.9,1686.98,1906.9,1731.99
12365,321.0,595.94,596.25,604.91,595.84,373.71,595.84,314.45
